target	H3K27ac	H3K27ac	H3K27ac	H3K27ac	H3K36me3	H3K36me3	H3K36me3	H3K36me3	H3K4me1	H3K4me1	H3K4me1	H3K4me1	H3K4me2	H3K4me2	H3K4me2	H3K4me2	H3K4me3	H3K4me3	H3K4me3	H3K4me3	H3K79me2	H3K79me2	H3K79me2	H3K79me2	H3K9ac	H3K9ac	H3K9ac	H3K9ac	H3K9me3	H3K9me3	H3K9me3	H3K9me3	H4K20me1	H4K20me1	H4K20me1	H4K20me1	H3K27me3	H3K27me3	H3K27me3	H3K27me3	Methylation	Methylation	Methylation	Methylation
type	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er
A1BG-AS1_ASO_G0268895_01	21.650803755919526	7.394529029525314	0.014963545541165196	0.5852725420268078	6.114557070697575	-0.0	0.04567054712097784	-0.0	1.3405610959694112	0.03880592022525152	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1BG-AS1_ASO_G0268895_03	10.844353271103657	38.999309723246725	-0.0	-0.0	1.6971388350742795	-0.0	-0.0	-0.0	2.860756943080066	0.835660991520873	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	1.823051974784331	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005592.2_ASO_G0231185_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24625593605780724	5.184174340105222	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.758633166095896	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005592.2_ASO_G0231185_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8060177219813844	9.10848749888709	-0.0	0.33247844789846215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	4.357896586015771	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007246.3_ASO_G0231312_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	3.466124767048743	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.7_ASO_G0229647_06	5.329643516939775	5.00623333806568	-0.0	-0.0	2.358069162617717	-0.0	-0.0	-0.0	7.390457472512243	1.053394257470712	0.008331453049934419	-0.0	0.0	0.0	0.0	0.0	1.1354763597669528	10.525549496077936	-0.0	-0.0	2.1832901581305797	0.2462189371456405	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016747.3_ASO_G0212978_01	4.649516645754384	1.6831474597713008	-0.0	0.25924264820401666	0.0	0.0	0.0	0.0	0.5621950597619552	1.4220568690068527	-0.0	-0.0	0.6775815076987866	5.186058007033063	-0.0	-0.0	0.30322387181915794	1.449235953856325	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	2.905577584660674	-0.0	-0.0	0.0	0.0	0.0	0.0
AC016747.3_ASO_G0212978_02	1.531009987772457	1.6759653863524484	-0.0	-0.0	5.357047171800748	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	1.3664452437436934	0.35505726251425934	0.14081510121965823	-0.0	1.45894813590624	0.6759875063741849	-0.0	-0.0	3.1755148747957067	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	2.536814675126734	-0.0	-0.0	0.0	0.0	0.0	0.0
AC016747.3_ASO_G0212978_03	10.364565413188494	3.7826176909560965	-0.0	0.9860582896792431	0.0	0.0	0.0	0.0	3.3846033574713776	6.165008230090871	-0.0	-0.0	2.870486958135621	9.801813171577182	0.03846526525792401	0.041608020071862054	0.41296565314800304	6.714208472708247	0.013637716418909485	-0.0	0.0	0.0	0.0	0.0	0.29675278811836975	2.038412095264975	0.11046188270308158	0.07595079221422307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4452179311813397	8.270415444893292	-0.0	-0.0	0.0	0.0	0.0	0.0
