mouse_gene_name	mouse_gene_id	human_gene_name	human_gene_id	ID	log2fc	pvalue	adj_pvalue
Pias3	ENSMUSG00000028101	PIAS3	ENSG00000131788	229615	-0.476178327	0.003567821	0.022927318
Rnf115	ENSMUSG00000028098	RNF115	ENSG00000265491	67845	0.469229288	0.00627986	0.03337009
Vps45	ENSMUSG00000015747	VPS45	ENSG00000136631	22365	0.61693912	0.004335339	0.026118738
Mcl1	ENSMUSG00000038612	MCL1	ENSG00000143384	17210	0.451395226	0.005101203	0.029231323
Ctsk	ENSMUSG00000028111	CTSK	ENSG00000143387	13038	-0.832584111	2.27e-06	0.000290658
Zfp687	ENSMUSG00000019338	ZNF687	ENSG00000143373	78266	-0.513180684	0.004592445	0.027174825
Plekho1	ENSMUSG00000015745	PLEKHO1	ENSG00000023902	67220	-0.498699364	0.006732742	0.035085273
Bcl9	ENSMUSG00000038256	BCL9	ENSG00000116128	77578	-0.475549557	0.002988842	0.020602485
Nudt4	ENSMUSG00000020029	NUDT4B	ENSG00000177144	71207	0.632451264	0.000220589	0.004403956
Anp32e	ENSMUSG00000015749	ANP32E	ENSG00000143401	66471	0.734506189	8.52e-06	0.000670602
Ecm1	ENSMUSG00000028108	ECM1	ENSG00000143369	13601	-0.652229899	5.42e-05	0.001895217
Pmf1	ENSMUSG00000028066	PMF1	ENSG00000160783	67037	-0.408733245	0.010170536	0.04617535
Mef2d	ENSMUSG00000001419	MEF2D	ENSG00000116604	17261	-0.553450194	0.000730208	0.008599905
Adam15	ENSMUSG00000028041	ADAM15	ENSG00000143537	11490	-0.502764836	0.001267484	0.01211534
Chtop	ENSMUSG00000001017	CHTOP	ENSG00000160679	66511	0.364988352	0.003752451	0.023694269
Crtc2	ENSMUSG00000027936	CRTC2	ENSG00000160741	74343	-0.71183986	0.000100802	0.002823455
Fam189b	ENSMUSG00000032657	FAM189B	ENSG00000160767	68521	-0.810534358	1.93e-06	0.000255197
Glmp	ENSMUSG00000001418	GLMP	ENSG00000198715	56700	-0.487176335	0.001946804	0.015713986
Arhgef2	ENSMUSG00000028059	ARHGEF2	ENSG00000116584	16800	-0.344459201	0.007985533	0.038874664
Cct3	ENSMUSG00000001416	CCT3	ENSG00000163468	12462	0.340452411	0.00546194	0.030508029
Ubap2l	ENSMUSG00000042520	UBAP2L	ENSG00000143569	74383	-0.383325561	0.000677105	0.008172197
Pear1	ENSMUSG00000028073	PEAR1	ENSG00000187800	73182	-0.721179793	4.34e-05	0.00170855
Tiprl	ENSMUSG00000040843	TIPRL	ENSG00000143155	226591	0.51318323	0.00283159	0.019939774
Cacybp	ENSMUSG00000014226	CACYBP	ENSG00000116161	12301	0.963380116	5.57e-06	0.000510151
Uchl5	ENSMUSG00000018189	UCHL5	ENSG00000116750	56207	1.046686615	3.29e-05	0.001458371
Fcer1g	ENSMUSG00000058715	FCER1G	ENSG00000158869	14127	-0.466222169	0.000808832	0.009154352
Aspm	ENSMUSG00000033952	ASPM	ENSG00000066279	12316	0.492859169	0.010986949	0.048572062
Ptgs2	ENSMUSG00000032487	PTGS2	ENSG00000073756	19225	0.792585492	0.00033119	0.005519544
Usp21	ENSMUSG00000053483	USP21	ENSG00000143258	30941	-0.476331318	0.005121809	0.029304659
Dhx9	ENSMUSG00000042699	DHX9	ENSG00000135829	13211	0.632582853	7.8e-05	0.002425989
Cenpl	ENSMUSG00000026708	CENPL	ENSG00000120334	70454	0.78752329	5.4e-05	0.001895217
Prrx1	ENSMUSG00000026586	PRRX1	ENSG00000116132	18933	0.520142103	0.003584358	0.022983984
Arpc5	ENSMUSG00000008475	ARPC5	ENSG00000162704	67771	0.678165404	0.000201469	0.004179344
Olfml2b	ENSMUSG00000038463	OLFML2B	ENSG00000162745	320078	-0.424005107	0.004992082	0.028811301
Nek7	ENSMUSG00000026393	NEK7	ENSG00000151414	59125	0.666375449	0.000481452	0.006751122
Tmco1	ENSMUSG00000052428	TMCO1	ENSG00000143183	68944	0.542101247	0.001465296	0.013199385
Tor1aip2	ENSMUSG00000050565	TOR1AIP2	ENSG00000169905	240832	0.481218459	0.003556184	0.022897721
Nuf2	ENSMUSG00000026683	NUF2	ENSG00000143228	66977	0.60440609	0.006051832	0.032542323
Rgs4	ENSMUSG00000038530	RGS4	ENSG00000117152	19736	0.614355266	0.000926829	0.009958101
Ifi204	ENSMUSG00000073489	MNDA	ENSG00000163563	15951	0.604870177	0.007279836	0.036749981
Igsf8	ENSMUSG00000038034	IGSF8	ENSG00000162729	140559	-0.581498753	0.00639061	0.033783226
Lamc2	ENSMUSG00000026479	LAMC2	ENSG00000058085	16782	1.133306021	8.4e-09	6.76e-06
Pla2g4a	ENSMUSG00000056220	PLA2G4A	ENSG00000116711	18783	0.739418709	8.2e-05	0.002481366
Suco	ENSMUSG00000040297	SUCO	ENSG00000094975	226551	0.757548357	8.74e-05	0.002575706
Upf2	ENSMUSG00000043241	UPF2	ENSG00000151461	326622	0.540314177	0.005757921	0.031357957
Acbd3	ENSMUSG00000026499	ACBD3	ENSG00000182827	170760	0.782586798	6.55e-05	0.002137559
Timm17a	ENSMUSG00000062580	TIMM17A	ENSG00000134375	21854	0.424341387	0.007333092	0.036927826
Nucks1	ENSMUSG00000026434	NUCKS1	ENSG00000069275	98415	0.650080346	0.000362812	0.005729649
Brox	ENSMUSG00000046836	BROX	ENSG00000162819	71678	0.539299044	0.001896277	0.015464995
Zfp738	ENSMUSG00000048280	ZNF678	ENSG00000181450	408068	0.74532656	0.002862314	0.02007972
Zfp738	ENSMUSG00000048280	ZNF695	ENSG00000197472	408068	0.74532656	0.002862314	0.02007972
Tbce	ENSMUSG00000039233	TBCE	ENSG00000285053	70430	0.503833388	0.010320865	0.046559672
Tbce	ENSMUSG00000039233	TBCE	ENSG00000284770	70430	0.503833388	0.010320865	0.046559672
Cox20	ENSMUSG00000026500	COX20	ENSG00000203667	66359	0.918699929	0.000184113	0.003973895
Gtpbp4	ENSMUSG00000021149	GTPBP4	ENSG00000107937	69237	0.487442944	0.003081467	0.021003221
Klf6	ENSMUSG00000000078	KLF6	ENSG00000067082	23849	0.399237197	0.008039284	0.039035077
C1ql3	ENSMUSG00000049630	C1QL3	ENSG00000165985	227580	0.866232931	0.002316268	0.017465668
Ero1lb	ENSMUSG00000057069	ERO1B	ENSG00000086619	67475	0.703865598	0.005224805	0.029660351
Tfb2m	ENSMUSG00000026492	TFB2M	ENSG00000162851	15278	0.657579779	0.001421651	0.012982794
Pter	ENSMUSG00000026730	PTER	ENSG00000165983	19212	0.585097353	0.00357869	0.022960711
Arid4b	ENSMUSG00000039219	ARID4B	ENSG00000054267	94246	0.544226699	0.00429739	0.025973492
Hnrnpu	ENSMUSG00000039630	HNRNPU	ENSG00000153187	51810	0.74026748	1.09e-05	0.000761141
Enah	ENSMUSG00000022995	ENAH	ENSG00000154380	13800	0.558408079	0.001174775	0.011562167
Eprs	ENSMUSG00000026615	EPRS1	ENSG00000136628	107508	0.417541516	0.007848536	0.038503273
Acta1	ENSMUSG00000031972	ACTA1	ENSG00000143632	11459	-1.054593414	1.36e-11	2.22e-08
Lrrn2	ENSMUSG00000026443	LRRN2	ENSG00000170382	16980	-0.639023886	0.002327726	0.017498931
Srp9	ENSMUSG00000026511	SRP9	ENSG00000143742	27058	0.753658328	3.83e-06	0.000399014
Idi1	ENSMUSG00000058258	IDI1	ENSG00000067064	319554	1.070992143	7.66e-07	0.000169762
Cubn	ENSMUSG00000026726	CUBN	ENSG00000107611	65969	0.62311359	0.009972051	0.045588834
Suv39h2	ENSMUSG00000026646	SUV39H2	ENSG00000152455	64707	0.503023462	0.009701972	0.044651786
Disp1	ENSMUSG00000030768	DISP1	ENSG00000154309	68897	-0.554648653	0.000887407	0.009679867
Fbxo28	ENSMUSG00000047539	FBXO28	ENSG00000143756	67948	0.371493328	0.010748203	0.047873722
2310022B05Rik	ENSMUSG00000031983	C1orf198	ENSG00000119280	69551	-0.607155613	0.002104185	0.01648606
Kif26b	ENSMUSG00000026494	KIF26B	ENSG00000162849	269152	-0.418981149	0.006673494	0.034909406
Myog	ENSMUSG00000026459	MYOG	ENSG00000122180	17928	-0.565899105	0.002039969	0.016164706
Mybph	ENSMUSG00000042451	MYBPH	ENSG00000133055	53311	-1.00633788	8.21e-09	6.76e-06
Actn2	ENSMUSG00000052374	ACTN2	ENSG00000077522	11472	-0.715704791	1.88e-05	0.001019838
Wdr26	ENSMUSG00000038733	WDR26	ENSG00000162923	226757	0.469844513	0.005437229	0.030482229
Zfp281	ENSMUSG00000041483	ZNF281	ENSG00000162702	226442	0.783566803	0.000903329	0.009817255
Arl5b	ENSMUSG00000017418	ARL5B	ENSG00000165997	75869	0.657607105	0.004050279	0.024867036
Rrp15	ENSMUSG00000001305	RRP15	ENSG00000067533	67223	0.609941095	0.006146662	0.03287953
Trdmt1	ENSMUSG00000026723	TRDMT1	ENSG00000107614	13434	0.627666658	0.001541855	0.013638091
Cacna1s	ENSMUSG00000026407	CACNA1S	ENSG00000081248	12292	-0.716361156	0.001178807	0.011562167
Mrpl55	ENSMUSG00000036860	MRPL55	ENSG00000162910	67212	-0.450951166	0.008860527	0.041849638
Gdi2	ENSMUSG00000021218	GDI2	ENSG00000057608	14569	0.467281823	0.007160558	0.036450219
Adss	ENSMUSG00000015961	ADSS2	ENSG00000035687	11566	0.587967376	0.000458742	0.006546819
Tomm20	ENSMUSG00000093904	TOMM20	ENSG00000173726	67952	0.585021859	5.07e-05	0.001843317
Ggps1	ENSMUSG00000021302	GGPS1	ENSG00000152904	14593	0.65732145	0.001401345	0.012891457
Prpf18	ENSMUSG00000039449	PRPF18	ENSG00000165630	67229	0.44705012	0.007556409	0.03765509
Prpf18	ENSMUSG00000039449	AL157392.5	ENSG00000282246	67229	0.44705012	0.007556409	0.03765509
Hspa14	ENSMUSG00000109865	HSPA14	ENSG00000187522	50497	0.569930885	0.000551434	0.007269846
Tnni1	ENSMUSG00000026418	TNNI1	ENSG00000159173	21952	-0.792075466	8.08e-08	3.56e-05
Lgr6	ENSMUSG00000042793	LGR6	ENSG00000133067	329252	-0.75042208	0.006861801	0.035536208
